00001	200	22477
00002	200	20557
00003	200	21920
00004	200	21400
00005	200	20203
00006	200	20773
00007	200	20443
00008	200	21066
00009	200	21819
0000a	200	19923
0000b	200	21835
0000c	200	22542
0000d	200	20675
0000e	200	22161
0000f	200	20665
00010	200	18865
00011	200	20745
00012	200	21755
00013	200	22042
00014	200	20159
00015	200	22041
00016	200	21048
00017	200	20504
00018	200	21843
00019	200	20546
0001a	200	20506
0001b	200	19919
0001c	200	21645
0001d	200	19808
0001e	200	22185
0001f	200	21908
00020	200	21670
00021	200	21370
00022	200	20854
00023	200	19686
00024	200	19531
00025	200	21289
00026	200	20482
00027	200	21123
00028	200	19724
00029	200	20475
0002a	200	19877
0002b	200	21959
0002c	200	20041
0002d	200	21213
0002e	200	20749
0002f	200	20861
00030	200	22044
00031	200	20961
00032	200	20197
00033	200	20394
00034	200	21248
00035	200	19337
00036	200	19958
00037	200	20503
00038	200	20431
00039	200	20515
0003a	200	19409
0003b	200	20700
0003c	200	19654
0003d	200	22061
0003e	200	21248
0003f	200	21292
00040	200	22070
00041	200	19953
00042	200	20191
00043	200	20736
00044	200	20393
00045	200	19292
00046	200	22194
00047	200	20236
00048	200	19177
00049	200	22848
0004a	200	19535
0004b	200	20597
0004c	200	20891
0004d	200	18165
0004e	200	19886
0004f	200	21638
00050	200	20976
00051	200	19679
00052	200	21831
00053	200	20002
00054	200	20323
00055	200	21208
00056	200	20744
00057	200	20245
00058	200	21717
00059	200	20270
0005a	200	19529
0005b	200	19529
0005c	200	20311
0005d	200	19684
0005e	200	23086
0005f	200	21794
00060	200	20702
00061	200	21907
00062	200	21287
00063	200	22506
00064	200	21359
00065	200	20074
00066	200	21489
00067	200	20001
00068	200	20742
00069	200	22571
0006a	200	21026
0006b	200	19892
0006c	200	19504
0006d	200	21559
0006e	200	22263
0006f	200	20904
00070	200	22181
00071	200	20275
00072	200	19141
00073	200	20123
00074	200	19834
00075	200	20077
00076	200	20929
00077	200	20938
00078	200	18281
00079	200	21994
0007a	200	22069
0007b	200	19296
0007c	200	20791
0007d	200	19098
0007e	200	21127
0007f	200	20503
00080	200	20350
00081	200	18441
00082	200	21489
00083	200	20593
00084	200	21986
00085	200	21793
00086	200	20278
00087	200	19260
00088	200	21524
00089	200	20275
0008a	200	19306
0008b	200	19568
0008c	200	20277
0008d	200	20315
0008e	200	19725
0008f	200	20515
00090	200	21284
00091	200	21065
00092	200	21328
00093	200	20204
00094	200	20511
00095	200	20508
00096	200	22112
00097	200	20391
00098	200	21288
00099	200	21210
0009a	200	21101
0009b	200	20472
0009c	200	20199
0009d	200	22073
0009e	200	20586
0009f	200	20000
000a0	200	20907
000a1	200	21475
000a2	200	19927
000a3	200	20471
000a4	200	21904
000a5	200	20072
000a6	200	20508
